Ticker,Date,Pattern,PrimarySignal_x,MarketRegime,AlphaRank,Trades,WinRate,AlphaScore,TrustLevel,ConfidenceScore,PValue,ValidationStatus,TrustRank,PatternFamily,PrimarySignal_y,FinalScore,Close,CrossAssetPattern,Events,AvgBounce5D,RecoveryRate5D,AvgBounce10D,RecoveryRate10D,BounceScore,FamilyEvents,FamilyAvgBounce5D,FamilyAvgBounce10D,FamilyRecoveryRate5D,FamilyRecoveryRate10D,FamilyBounceScore,LiquidityStatus,UsedBounceSource,UsedEvents,UsedAvgBounce5D,UsedRecoveryRate5D,UsedAvgBounce10D,UsedRecoveryRate10D,UsedBounceScore,PassEvents,PassRecovery,PassAvgBounce,PassScore,PassLiquidity
BEL,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,MOMENTUM|BULL|VOLATILE,NONE,8.0,428.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
QQQ,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,MOMENTUM|BULL|VOLATILE,MOMENTUM,48.0,740.6199951171875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
SBIN,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,MOMENTUM|BULL|VOLATILE,OVERBOUGHT,18.0,1037.300048828125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
JPM,2026-06-18,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,77,1954,55.48,12.236,INSTITUTIONAL,96.05,0.0,VALIDATED,5,OVERBOUGHT|BULL|NORMAL,PANIC,58.0,325.2200012207031,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
BAC,2026-06-18,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,77,1954,55.48,12.236,INSTITUTIONAL,96.05,0.0,VALIDATED,5,OVERBOUGHT|BULL|NORMAL,OVERBOUGHT,18.0,56.20000076293945,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
SUZLON,2026-06-18,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC,BULL,164,1174,52.13,2.4374,INSTITUTIONAL,95.0,0.00108,VALIDATED,5,PANIC|BULL|NORMAL,NONE,8.0,59.400001525878906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
YESBANK,2026-06-18,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BULL,195,1770,52.15,1.1882,INSTITUTIONAL,95.49,2e-06,VALIDATED,5,MOMENTUM|BULL|NORMAL,NONE,8.0,25.309999465942383,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
AAPL,2026-06-18,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BULL,195,1770,52.15,1.1882,INSTITUTIONAL,95.49,2e-06,VALIDATED,5,MOMENTUM|BULL|NORMAL,NONE,8.0,298.010009765625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
RKLB,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,PANIC|HIGH_VOLATILITY|VOLATILE,NONE,15.0,107.23999786376952,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1008.0,0.92,47.52,1.29,46.83,59.74,5851.0,0.6164285714285713,1.092142857142857,49.779999999999994,50.510714285714286,61.43285714285714,LIQUID,EXACT_PATTERN,1008.0,0.92,47.52,1.29,46.83,59.74,True,False,True,False,True
ETH-USD,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,PANIC|HIGH_VOLATILITY|VOLATILE,MOMENTUM,55.0,1732.6500244140625,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1008.0,0.92,47.52,1.29,46.83,59.74,5851.0,0.6164285714285713,1.092142857142857,49.779999999999994,50.510714285714286,61.43285714285714,LIQUID,EXACT_PATTERN,1008.0,0.92,47.52,1.29,46.83,59.74,True,False,True,True,True
^VIX,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,PANIC|HIGH_VOLATILITY|VOLATILE,PANIC,65.0,16.399999618530273,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1008.0,0.92,47.52,1.29,46.83,59.74,5851.0,0.6164285714285713,1.092142857142857,49.779999999999994,50.510714285714286,61.43285714285714,ILLQUID,EXACT_PATTERN,1008.0,0.92,47.52,1.29,46.83,59.74,True,False,True,True,False
AMD,2026-06-18,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,66,1792,45.15,13.6996,HIGH,94.74,0.0,VALIDATED,4,MOMENTUM|HIGH_VOLATILITY|VOLATILE,MOMENTUM,55.0,537.3699951171875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
XOM,2026-06-18,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,211,2033,50.07,0.7621,HIGH,94.83,0.003688,VALIDATED,4,PANIC|SIDEWAYS|VOLATILE,PANIC,55.0,137.80999755859375,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,506.0,-0.08,50.4,0.61,52.77,58.91,2848.0,-0.07428571428571429,-0.24499999999999997,51.205,50.659285714285716,48.20785714285715,LIQUID,EXACT_PATTERN,506.0,-0.08,50.4,0.61,52.77,58.91,True,False,False,True,True
CVX,2026-06-18,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,211,2033,50.07,0.7621,HIGH,94.83,0.003688,VALIDATED,4,PANIC|SIDEWAYS|VOLATILE,PANIC,55.0,173.6300048828125,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,506.0,-0.08,50.4,0.61,52.77,58.91,2848.0,-0.07428571428571429,-0.24499999999999997,51.205,50.659285714285716,48.20785714285715,LIQUID,EXACT_PATTERN,506.0,-0.08,50.4,0.61,52.77,58.91,True,False,False,True,True
USO,2026-06-18,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,211,2033,50.07,0.7621,HIGH,94.83,0.003688,VALIDATED,4,PANIC|SIDEWAYS|VOLATILE,NONE,5.0,114.87000274658205,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,506.0,-0.08,50.4,0.61,52.77,58.91,2848.0,-0.07428571428571429,-0.24499999999999997,51.205,50.659285714285716,48.20785714285715,LIQUID,EXACT_PATTERN,506.0,-0.08,50.4,0.61,52.77,58.91,True,False,False,False,True
RTX,2026-06-18,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,211,2033,50.07,0.7621,HIGH,94.83,0.003688,VALIDATED,4,PANIC|SIDEWAYS|VOLATILE,PANIC,55.0,185.6000061035156,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,506.0,-0.08,50.4,0.61,52.77,58.91,2848.0,-0.07428571428571429,-0.24499999999999997,51.205,50.659285714285716,48.20785714285715,LIQUID,EXACT_PATTERN,506.0,-0.08,50.4,0.61,52.77,58.91,True,False,False,True,True
COP,2026-06-18,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,211,2033,50.07,0.7621,HIGH,94.83,0.003688,VALIDATED,4,PANIC|SIDEWAYS|VOLATILE,PANIC,55.0,107.73999786376952,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,506.0,-0.08,50.4,0.61,52.77,58.91,2848.0,-0.07428571428571429,-0.24499999999999997,51.205,50.659285714285716,48.20785714285715,LIQUID,EXACT_PATTERN,506.0,-0.08,50.4,0.61,52.77,58.91,True,False,False,True,True
HAL,2026-06-18,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,264,1202,49.0,-0.5659,HIGH,94.72,0.019452,VALIDATED,4,PANIC|SIDEWAYS|NORMAL,NONE,5.0,4410.10009765625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
COST,2026-06-18,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,264,1202,49.0,-0.5659,HIGH,94.72,0.019452,VALIDATED,4,PANIC|SIDEWAYS|NORMAL,PANIC,55.0,951.4500122070312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
DBC,2026-06-18,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,264,1202,49.0,-0.5659,HIGH,94.72,0.019452,VALIDATED,4,PANIC|SIDEWAYS|NORMAL,NONE,5.0,27.6299991607666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
IREDA,2026-06-18,MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BEAR,215,380,44.74,0.7074,MEDIUM,0.0,0.014349,NOT_VALIDATED,3,MOMENTUM|BEAR|NORMAL,MOMENTUM,45.0,131.6999969482422,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
NOC,2026-06-18,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,198,1030,49.42,1.1203,LOW,0.0,0.12344,WATCHLIST_ONLY,2,PANIC|BEAR|VOLATILE,PANIC,60.0,521.5,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286.0,0.09,47.9,0.16,49.3,50.85,1947.0,0.7171428571428571,0.29071428571428565,54.458571428571425,53.97428571428571,56.87714285714286,LIQUID,EXACT_PATTERN,286.0,0.09,47.9,0.16,49.3,50.85,True,False,False,True,True
BTC-USD,2026-06-18,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,198,1030,49.42,1.1203,LOW,0.0,0.12344,WATCHLIST_ONLY,2,PANIC|BEAR|VOLATILE,MOMENTUM,50.0,63906.4296875,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286.0,0.09,47.9,0.16,49.3,50.85,1947.0,0.7171428571428571,0.29071428571428565,54.458571428571425,53.97428571428571,56.87714285714286,LIQUID,EXACT_PATTERN,286.0,0.09,47.9,0.16,49.3,50.85,True,False,False,True,True
INFY,2026-06-18,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,198,1030,49.42,1.1203,LOW,0.0,0.12344,WATCHLIST_ONLY,2,PANIC|BEAR|VOLATILE,MOMENTUM,50.0,1064.800048828125,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286.0,0.09,47.9,0.16,49.3,50.85,1947.0,0.7171428571428571,0.29071428571428565,54.458571428571425,53.97428571428571,56.87714285714286,LIQUID,EXACT_PATTERN,286.0,0.09,47.9,0.16,49.3,50.85,True,False,False,True,True
COCHINSHIP,2026-06-18,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,198,1030,49.42,1.1203,LOW,0.0,0.12344,WATCHLIST_ONLY,2,PANIC|BEAR|VOLATILE,NONE,10.0,1444.0999755859375,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286.0,0.09,47.9,0.16,49.3,50.85,1947.0,0.7171428571428571,0.29071428571428565,54.458571428571425,53.97428571428571,56.87714285714286,LIQUID,EXACT_PATTERN,286.0,0.09,47.9,0.16,49.3,50.85,True,False,False,False,True
LMT,2026-06-18,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,198,1030,49.42,1.1203,LOW,0.0,0.12344,WATCHLIST_ONLY,2,PANIC|BEAR|VOLATILE,PANIC,60.0,510.9500122070313,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286.0,0.09,47.9,0.16,49.3,50.85,1947.0,0.7171428571428571,0.29071428571428565,54.458571428571425,53.97428571428571,56.87714285714286,LIQUID,EXACT_PATTERN,286.0,0.09,47.9,0.16,49.3,50.85,True,False,False,True,True
PERSISTENT,2026-06-18,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,198,1030,49.42,1.1203,LOW,0.0,0.12344,WATCHLIST_ONLY,2,PANIC|BEAR|VOLATILE,MOMENTUM,50.0,4880.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,286.0,0.09,47.9,0.16,49.3,50.85,1947.0,0.7171428571428571,0.29071428571428565,54.458571428571425,53.97428571428571,56.87714285714286,LIQUID,EXACT_PATTERN,286.0,0.09,47.9,0.16,49.3,50.85,True,False,False,True,True
MSFT,2026-06-18,OVERSOLD|BEAR|NORMAL|BULL|VIX_ELEVATED,OVERSOLD,BEAR,240,399,51.13,-0.0233,LOW,0.0,0.785884,NOT_VALIDATED,2,OVERSOLD|BEAR|NORMAL,OVERSOLD,30.0,379.3999938964844,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
TSLA,2026-06-18,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC,BEAR,249,519,45.66,-0.1226,LOW,0.0,0.151219,NOT_VALIDATED,2,PANIC|BEAR|NORMAL,MOMENTUM,50.0,400.489990234375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
MCD,2026-06-18,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC,BEAR,249,519,45.66,-0.1226,LOW,0.0,0.151219,NOT_VALIDATED,2,PANIC|BEAR|NORMAL,PANIC,60.0,278.6099853515625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
AMZN,2026-06-18,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,271,1094,47.81,-0.9144,LOW,0.0,0.412058,NOT_VALIDATED,2,MOMENTUM|SIDEWAYS|NORMAL,MOMENTUM,45.0,244.38999938964844,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
SAIL,2026-06-18,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,271,1094,47.81,-0.9144,LOW,0.0,0.412058,NOT_VALIDATED,2,MOMENTUM|SIDEWAYS|NORMAL,PANIC,55.0,178.1999969482422,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
HDFCBANK,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,277,2065,48.96,-1.2953,LOW,0.0,0.145904,WATCHLIST_ONLY,2,MOMENTUM|SIDEWAYS|VOLATILE,NONE,5.0,785.4000244140625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
NVDA,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,277,2065,48.96,-1.2953,LOW,0.0,0.145904,WATCHLIST_ONLY,2,MOMENTUM|SIDEWAYS|VOLATILE,MOMENTUM,48.0,210.69000244140625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
HD,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,277,2065,48.96,-1.2953,LOW,0.0,0.145904,WATCHLIST_ONLY,2,MOMENTUM|SIDEWAYS|VOLATILE,MOMENTUM,45.0,334.2799987792969,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
CDSL,2026-06-18,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,277,2065,48.96,-1.2953,LOW,0.0,0.145904,WATCHLIST_ONLY,2,MOMENTUM|SIDEWAYS|VOLATILE,MOMENTUM,45.0,1386.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
