Ticker,PrimarySignal,FinalScore,Pattern,PatternFamily,TrustLevel,ConfidenceScore,AlphaScore,SurvivalScore,Appearances,Events,WinRate10D,AvgReturn10D,FamilyScore,FamilyStrength,LiquidityStatus,MasterScore,Decision,RejectReason
QQQ,MOMENTUM,48.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|BULL|VOLATILE,INSTITUTIONAL,95.5,12.8763,55.59,2936.0,67.0,65.08,0.99,58.46,STRONG,LIQUID,59.48,REJECT,
YESBANK,PANIC,58.0,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|BULL|NORMAL,INSTITUTIONAL,95.49,1.1882,55.16,1762.0,15.0,50.0,-0.91,54.61,MODERATE,LIQUID,57.82,REJECT,Weak event validation; 
JPM,PANIC,58.0,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT|BULL|NORMAL,INSTITUTIONAL,96.05,12.236,60.67,1950.0,57.0,39.29,-0.99,27.96,WEAK,LIQUID,52.85,REJECT,Weak event validation; Weak family score; 
AAPL,NONE,8.0,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|BULL|NORMAL,INSTITUTIONAL,95.49,1.1882,55.16,1762.0,66.0,70.77,2.28,54.61,MODERATE,LIQUID,50.27,REJECT,Weak live score; 
SBIN,OVERBOUGHT,18.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|BULL|VOLATILE,INSTITUTIONAL,95.5,12.8763,55.59,2936.0,56.0,56.36,0.18,58.46,STRONG,LIQUID,50.03,REJECT,Weak live score; 
BEL,NONE,8.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|BULL|VOLATILE,INSTITUTIONAL,95.5,12.8763,55.59,2936.0,64.0,47.62,0.02,58.46,STRONG,LIQUID,45.74,REJECT,Weak live score; Weak event validation; 
BAC,OVERBOUGHT,18.0,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT|BULL|NORMAL,INSTITUTIONAL,96.05,12.236,60.67,1950.0,37.0,48.57,-0.05,27.96,WEAK,LIQUID,44.94,REJECT,Weak live score; Weak event validation; Weak family score; 
^VIX,PANIC,65.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC|HIGH_VOLATILITY|VOLATILE,HIGH,94.65,19.8121,0.0,0.0,0.0,0.0,0.0,0.0,,ILLQUID,30.45,REJECT,Not liquid; No institutional match; Weak event validation; Weak family score; 
COP,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|VOLATILE,HIGH,94.83,0.7621,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,27.97,REJECT,No institutional match; Weak event validation; Weak family score; 
CVX,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|VOLATILE,HIGH,94.83,0.7621,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,27.97,REJECT,No institutional match; Weak event validation; Weak family score; 
RTX,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|VOLATILE,HIGH,94.83,0.7621,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,27.97,REJECT,No institutional match; Weak event validation; Weak family score; 
XOM,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|VOLATILE,HIGH,94.83,0.7621,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,27.97,REJECT,No institutional match; Weak event validation; Weak family score; 
AMD,MOMENTUM,55.0,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|HIGH_VOLATILITY|VOLATILE,HIGH,94.74,13.6996,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,27.96,REJECT,No institutional match; Weak event validation; Weak family score; 
COST,PANIC,55.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|NORMAL,HIGH,94.72,-0.5659,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,27.96,REJECT,No institutional match; Weak event validation; Weak family score; 
RKLB,NONE,15.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC|HIGH_VOLATILITY|VOLATILE,HIGH,94.65,19.8121,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,17.95,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
ETH-USD,NONE,15.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC|HIGH_VOLATILITY|VOLATILE,HIGH,94.65,19.8121,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,17.95,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
GDX,PANIC,65.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,No institutional match; Weak event validation; Weak family score; 
IRDM,PANIC,65.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,No institutional match; Weak event validation; Weak family score; 
SLV,PANIC,65.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,No institutional match; Weak event validation; Weak family score; 
SUZLON,NONE,8.0,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC|BULL|NORMAL,INSTITUTIONAL,95.0,2.4374,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,16.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
USO,NONE,5.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|VOLATILE,HIGH,94.83,0.7621,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.47,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
DBC,NONE,5.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|NORMAL,HIGH,94.72,-0.5659,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.46,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
HAL,NONE,5.0,PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,PANIC|SIDEWAYS|NORMAL,HIGH,94.72,-0.5659,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.46,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
LMT,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.0,REJECT,No institutional match; Weak event validation; Weak family score; 
MCD,PANIC,60.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC|BEAR|NORMAL,LOW,0.0,-0.1226,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.0,REJECT,No institutional match; Weak event validation; Weak family score; 
NOC,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,15.0,REJECT,No institutional match; Weak event validation; Weak family score; 
TSLA,MOMENTUM,50.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC|BEAR|NORMAL,LOW,0.0,-0.1226,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
INFY,MOMENTUM,50.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
PERSISTENT,MOMENTUM,50.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
RELIANCE,MOMENTUM,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
RVNL,MOMENTUM,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
TCS,MOMENTUM,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.5,REJECT,No institutional match; Weak event validation; Weak family score; 
NVDA,MOMENTUM,48.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,12.0,REJECT,No institutional match; Weak event validation; Weak family score; 
AMZN,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|NORMAL,LOW,0.0,-0.9144,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
HD,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
CDSL,MOMENTUM,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
IREDA,MOMENTUM,45.0,MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|BEAR|NORMAL,MEDIUM,0.0,0.7074,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
IRFC,MOMENTUM,45.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,11.25,REJECT,No institutional match; Weak event validation; Weak family score; 
MSFT,OVERSOLD,30.0,OVERSOLD|BEAR|NORMAL|BULL|VIX_ELEVATED,OVERSOLD|BEAR|NORMAL,LOW,0.0,-0.0233,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,7.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
SAIL,OVERSOLD,25.0,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|NORMAL,LOW,0.0,-0.9144,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,6.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
ICICIBANK,OVERBOUGHT,15.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,3.75,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
MA,NONE,10.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
BTC-USD,NONE,10.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
COCHINSHIP,NONE,10.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC|BEAR|VOLATILE,LOW,0.0,1.1203,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.5,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
GS,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
SPY,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
BSE,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
IDEA,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
LT,NONE,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,2.0,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
GLD,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
V,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
WMT,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
BHARTIARTL,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
HDFCBANK,NONE,5.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM|SIDEWAYS|VOLATILE,LOW,0.0,-1.2953,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
KPITTECH,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
NMDC,NONE,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LIQUID,1.25,REJECT,Weak live score; No institutional match; Weak event validation; Weak family score; 
