Rank,Pattern,Trades,WinRate1D,AvgReturn1D,WinRate3D,AvgReturn3D,WinRate5D,AvgReturn5D,WinRate10D,AvgReturn10D
1,OVERSOLD|HIGH_VOLATILITY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,21,47.62,-0.612,71.43,6.149,85.71,11.843,61.9,12.422
2,MOMENTUM|BULL|NORMAL|BULL|VIX_EXTREME,8,50.0,0.594,87.5,6.196,100.0,10.064,75.0,9.769
3,OVERSOLD|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,39,61.54,1.175,64.1,6.026,71.79,7.613,87.18,13.236
4,OVERSOLD|SIDEWAYS|NORMAL|HIGH_VOL|VIX_HIGH,6,83.33,2.87,83.33,5.46,83.33,6.897,83.33,5.704
5,MOMENTUM|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_LOW,8,25.0,0.754,50.0,4.765,50.0,5.977,50.0,3.629
6,OVERBOUGHT|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,8,62.5,1.888,100.0,3.87,100.0,5.277,87.5,3.539
7,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_EXTREME,19,52.63,-0.263,78.95,3.007,84.21,4.716,78.95,4.12
8,MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_EXTREME,8,75.0,1.124,75.0,3.278,75.0,4.541,87.5,9.305
9,OVERBOUGHT|SIDEWAYS|NORMAL|HIGH_VOL|VIX_HIGH,15,26.67,-0.415,46.67,1.375,66.67,4.273,93.33,9.615
10,OVERSOLD|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_EXTREME,7,71.43,1.003,85.71,3.753,85.71,4.265,85.71,12.426
11,OVERBOUGHT|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,5,60.0,-0.035,40.0,0.858,100.0,4.205,100.0,2.392
12,MOMENTUM|BULL|VOLATILE|BULL|VIX_EXTREME,27,48.15,0.182,74.07,1.87,77.78,3.984,77.78,5.722
13,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|SIDEWAYS|VIX_HIGH,7,71.43,0.613,85.71,3.402,71.43,3.417,71.43,3.319
14,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_HIGH,64,59.38,1.848,65.62,2.57,65.62,3.384,65.62,3.533
15,MOMENTUM|HIGH_VOLATILITY|NORMAL|BULL|VIX_EXTREME,5,20.0,-0.71,40.0,0.388,80.0,3.334,60.0,12.812
16,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_LOW,37,51.35,0.953,45.95,0.172,51.35,3.285,59.46,2.875
17,OVERBOUGHT|BEAR|NORMAL|BULL|VIX_LOW,29,55.17,-0.066,58.62,1.825,65.52,3.039,44.83,2.861
18,OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,83,57.83,0.59,77.11,2.734,72.29,2.786,73.49,3.294
19,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,49,51.02,0.583,51.02,2.176,46.94,2.649,59.18,6.252
20,PANIC|BEAR|VOLATILE|HIGH_VOL|VIX_HIGH,49,75.51,0.941,69.39,1.713,77.55,2.613,71.43,3.05
21,PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_EXTREME,10,20.0,-1.134,70.0,-0.044,70.0,2.612,50.0,0.853
22,PANIC|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_LOW,6,33.33,-1.154,33.33,-0.112,33.33,2.595,66.67,3.569
23,PANIC|BULL|NORMAL|BULL|VIX_EXTREME,13,46.15,-0.572,46.15,0.467,61.54,2.567,69.23,4.792
24,OVERBOUGHT|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,41,63.41,0.714,43.9,0.384,60.98,2.538,75.61,5.227
25,MOMENTUM|INSUFFICIENT_HISTORY|VOLATILE|BULL|VIX_LOW,213,51.17,1.076,51.17,1.892,47.42,2.383,47.42,3.786
26,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,10,60.0,0.915,80.0,1.965,90.0,2.379,90.0,11.496
27,OVERBOUGHT|BEAR|NORMAL|BEAR|VIX_ELEVATED,7,42.86,1.076,100.0,3.659,71.43,2.368,100.0,4.57
28,PANIC|BEAR|VOLATILE|BEAR|VIX_EXTREME,382,49.48,0.216,59.42,1.185,67.28,2.359,68.85,2.982
29,PANIC|BULL|VOLATILE|BULL|VIX_EXTREME,55,58.18,0.236,54.55,0.524,69.09,2.275,58.18,2.516
30,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|SIDEWAYS|VIX_ELEVATED,13,53.85,1.031,61.54,2.213,76.92,2.187,53.85,2.459
31,MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_EXTREME,102,55.88,0.524,58.82,1.156,65.69,2.132,69.61,2.548
32,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,57,57.89,0.71,61.4,0.865,56.14,2.131,56.14,2.433
33,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2005,48.53,0.314,53.32,1.266,54.31,2.065,52.52,3.227
34,MOMENTUM|HIGH_VOLATILITY|NORMAL|BEAR|VIX_HIGH,67,59.7,0.8,61.19,1.276,56.72,2.015,62.69,2.339
35,MOMENTUM|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,341,49.27,0.469,46.33,0.578,51.61,1.909,50.15,2.929
36,OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_HIGH,8,50.0,-0.044,50.0,2.144,50.0,1.908,62.5,0.313
37,MOMENTUM|BULL|VOLATILE|BEAR|VIX_ELEVATED,15,40.0,0.049,66.67,1.076,73.33,1.898,73.33,2.447
38,PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,178,51.12,0.135,48.88,0.436,48.88,1.884,52.81,4.074
39,MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,103,54.37,0.32,65.05,1.044,64.08,1.876,73.79,2.619
40,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_HIGH,144,62.5,0.543,50.0,0.749,56.94,1.857,64.58,3.081
41,OVERSOLD|BEAR|NORMAL|BULL|VIX_HIGH,75,57.33,0.664,64.0,1.229,66.67,1.854,57.33,1.191
42,MOMENTUM|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,72,50.0,0.585,50.0,1.038,47.22,1.843,51.39,3.178
43,PANIC|INSUFFICIENT_HISTORY|VOLATILE|BULL|VIX_HIGH,26,57.69,-0.167,46.15,0.457,50.0,1.805,53.85,3.45
44,MOMENTUM|BULL|NORMAL|SIDEWAYS|VIX_EXTREME,70,58.57,0.356,62.86,1.437,70.0,1.801,65.71,2.556
45,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,858,57.46,1.078,53.15,0.972,60.84,1.786,68.18,4.129
46,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,18,27.78,-0.591,44.44,-0.314,61.11,1.785,55.56,-0.124
47,PANIC|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,35,65.71,0.302,48.57,0.578,68.57,1.75,60.0,1.029
48,PANIC|BEAR|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,98,61.22,1.053,61.22,1.596,66.33,1.734,57.14,1.022
49,PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,137,57.66,0.789,63.5,1.37,66.42,1.731,72.99,2.919
50,PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_EXTREME,443,58.47,0.553,58.01,1.193,56.66,1.728,59.37,3.386
51,MOMENTUM|SIDEWAYS|NORMAL|BEAR|VIX_ELEVATED,13,61.54,0.491,61.54,1.206,76.92,1.723,69.23,2.424
52,MOMENTUM|BULL|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,211,55.92,0.461,50.71,0.973,52.61,1.718,51.66,2.1
53,OVERSOLD|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,45,55.56,1.145,64.44,2.351,57.78,1.713,66.67,0.834
54,OVERSOLD|BEAR|NORMAL|BEAR|VIX_EXTREME,48,54.17,0.303,70.83,1.504,77.08,1.703,64.58,1.662
55,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_EXTREME,42,59.52,0.276,54.76,0.316,61.9,1.702,54.76,1.359
56,OVERSOLD|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,90,48.89,0.206,55.56,0.658,62.22,1.676,55.56,2.033
57,PANIC|BULL|NORMAL|SIDEWAYS|VIX_EXTREME,53,69.81,0.445,58.49,1.249,64.15,1.668,77.36,3.748
58,OVERSOLD|HIGH_VOLATILITY|NORMAL|BEAR|VIX_HIGH,21,38.1,-0.616,42.86,-0.103,47.62,1.668,33.33,1.329
59,OVERSOLD|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,12,66.67,0.884,75.0,0.503,75.0,1.655,75.0,2.563
60,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BEAR|VIX_HIGH,5,40.0,-0.993,60.0,0.97,60.0,1.654,40.0,1.216
61,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_ELEVATED,35,68.57,0.516,48.57,0.674,40.0,1.648,28.57,-2.093
62,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,130,51.54,0.583,48.46,0.765,55.38,1.617,58.46,2.338
63,PANIC|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,27,62.96,0.144,74.07,1.79,59.26,1.609,62.96,2.379
64,OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_LOW,19,52.63,-0.428,42.11,-1.938,36.84,1.577,15.79,-2.35
65,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_ELEVATED,35,51.43,-0.297,57.14,0.483,68.57,1.575,65.71,3.161
66,PANIC|BULL|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,66,63.64,0.026,62.12,0.742,60.61,1.563,63.64,2.429
67,MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,198,52.02,0.927,50.51,2.098,48.48,1.559,53.03,4.041
68,PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,531,57.82,0.497,60.64,1.088,64.22,1.547,65.54,1.44
69,MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,30,70.0,0.938,70.0,1.388,63.33,1.54,53.33,0.213
70,PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,46,60.87,0.24,63.04,0.855,54.35,1.484,50.0,3.331
71,MOMENTUM|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_HIGH,26,42.31,0.266,53.85,1.538,53.85,1.475,53.85,4.447
72,PANIC|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,145,57.93,0.295,53.79,0.722,59.31,1.466,68.97,3.318
73,OVERSOLD|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,9,55.56,0.165,55.56,1.184,55.56,1.456,55.56,0.268
74,MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,205,53.66,0.284,68.78,1.276,67.32,1.444,67.32,2.049
75,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2085,50.17,0.437,49.02,0.901,49.3,1.43,50.98,2.616
76,MOMENTUM|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,128,48.44,0.067,63.28,0.777,61.72,1.422,71.09,2.132
77,PANIC|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,64,50.0,-0.069,50.0,-0.595,64.06,1.412,48.44,0.703
78,OVERSOLD|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,38,36.84,-0.988,55.26,0.72,60.53,1.405,55.26,1.935
79,MOMENTUM|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,47,34.04,-0.641,53.19,-0.502,68.09,1.377,70.21,2.583
80,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,166,53.61,0.642,57.23,1.502,53.01,1.369,50.6,1.025
81,PANIC|BULL|VOLATILE|HIGH_VOL|VIX_HIGH,17,64.71,0.213,64.71,1.183,64.71,1.345,70.59,1.599
82,PANIC|BULL|VOLATILE|HIGH_VOL|VIX_EXTREME,48,72.92,0.581,62.5,0.922,66.67,1.31,64.58,-0.038
83,OVERSOLD|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,56,42.86,-0.319,50.0,-0.304,57.14,1.286,67.86,3.779
84,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_LOW,48,43.75,-0.274,37.5,-0.277,35.42,1.28,50.0,3.293
85,MOMENTUM|BEAR|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,84,41.67,0.251,48.81,1.173,52.38,1.276,46.43,0.037
86,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_EXTREME,60,53.33,0.648,61.67,0.823,48.33,1.225,61.67,2.958
87,PANIC|BEAR|NORMAL|BEAR|VIX_EXTREME,110,48.18,-0.034,51.82,0.34,69.09,1.224,72.73,1.869
88,OVERSOLD|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,225,52.89,0.425,63.56,1.09,60.0,1.207,63.11,1.805
89,PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_HIGH,68,66.18,0.607,57.35,0.511,60.29,1.2,58.82,1.886
90,OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|SIDEWAYS|VIX_ELEVATED,6,50.0,0.244,50.0,-0.469,50.0,1.188,33.33,-0.898
91,OVERSOLD|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_EXTREME,47,40.43,-0.106,65.96,1.018,65.96,1.177,48.94,0.655
92,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,216,50.93,0.227,53.7,0.574,52.78,1.149,57.41,2.472
93,OVERBOUGHT|BULL|NORMAL|HIGH_VOL|VIX_HIGH,19,57.89,0.206,73.68,0.753,63.16,1.142,73.68,1.067
94,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,30,53.33,0.171,46.67,-0.327,60.0,1.141,66.67,1.258
95,MOMENTUM|BULL|VOLATILE|BULL|VIX_HIGH,1078,52.78,0.392,55.01,0.714,58.35,1.115,57.33,2.085
96,MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,181,51.93,0.199,55.25,0.657,55.8,1.091,56.91,1.436
97,PANIC|BULL|VOLATILE|BULL|VIX_HIGH,683,53.44,0.249,56.95,0.659,57.69,1.088,62.08,2.457
98,PANIC|BULL|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,89,50.56,-0.105,57.3,0.683,58.43,1.087,55.06,2.091
99,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,736,51.09,0.137,53.4,0.499,51.22,1.062,52.17,1.611
100,OVERBOUGHT|SIDEWAYS|NORMAL|BEAR|VIX_ELEVATED,12,50.0,0.544,58.33,1.189,50.0,1.059,83.33,1.899
101,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,717,53.28,0.264,57.6,0.818,58.3,1.05,62.2,2.019
102,OVERSOLD|SIDEWAYS|NORMAL|BEAR|VIX_HIGH,47,57.45,0.164,74.47,0.703,63.83,1.028,48.94,-0.59
103,PANIC|BULL|VOLATILE|SIDEWAYS|VIX_LOW,119,54.62,0.624,55.46,1.341,52.94,1.015,53.78,0.805
104,MOMENTUM|BULL|NORMAL|BEAR|VIX_EXTREME,28,60.71,0.456,60.71,0.402,53.57,1.007,57.14,-0.238
105,MOMENTUM|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,148,50.0,0.233,54.05,0.661,56.76,1.004,54.05,1.561
106,MOMENTUM|BULL|NORMAL|HIGH_VOL|VIX_HIGH,23,78.26,0.232,52.17,0.228,52.17,0.988,60.87,1.731
107,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,196,52.55,0.511,55.61,1.383,55.61,0.976,58.67,2.224
108,PANIC|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_HIGH,12,58.33,-0.016,50.0,2.371,66.67,0.969,50.0,1.966
109,PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,786,54.33,0.067,57.38,0.647,63.1,0.942,60.69,1.322
110,MOMENTUM|BULL|NORMAL|BEAR|VIX_ELEVATED,10,70.0,0.31,90.0,0.998,50.0,0.922,60.0,1.929
111,MOMENTUM|BULL|NORMAL|HIGH_VOL|VIX_EXTREME,28,64.29,0.316,60.71,0.668,57.14,0.915,60.71,1.146
112,PANIC|HIGH_VOLATILITY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,378,56.08,0.546,55.03,0.911,58.99,0.908,58.99,1.959
113,PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,384,48.18,0.4,45.31,0.566,53.39,0.889,54.95,2.526
114,PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,241,49.79,0.063,57.68,0.534,62.66,0.887,60.58,1.25
115,OVERSOLD|SIDEWAYS|NORMAL|BULL|VIX_HIGH,127,52.76,0.27,59.06,0.574,65.35,0.882,54.33,0.237
116,PANIC|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,101,55.45,-0.057,52.48,0.788,57.43,0.874,61.39,1.694
117,MOMENTUM|BULL|VOLATILE|HIGH_VOL|VIX_HIGH,50,54.0,0.312,50.0,0.113,56.0,0.863,72.0,2.507
